Section,Current,Proposed
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",👑 {parts} — Game 4?,**…Game 4 next?**
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",👑 CHAMPION OF THE NIGHT — ${name},keep (ceremony)
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",SUPER SURE labels / 🎭 decoy chip (reveal map),**SUPER SURE ×0** **[test]** / keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",👻 3 km (ghost chip),keep (verify non-duel never renders)
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",Guess / Answer (couch pin tooltips),**Your guess** / keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",Final scores in 5… / Next round in 5… / Wrapping up… / Starting the next round…,keep / keep / **Final scores…** / keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",GeoParty — Screen (tab),**GeoParty — TV**
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",Enter the room code from the host's phone,keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",KWPFRT (code placeholder),**CODE**
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",Waiting for the host…,keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",Guessing… / waiting for a pin…,keep (case normalized)
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",head-to-head (H1 mode tag),**everyone on their own phone**
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",Leaderboard,**Totals**
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",ALL TEAMS LOCKED IN · 3,keep (ceremony)
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",Game over! / Start a new game on the host's phone — this screen follows. / Enter a code,keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",© line,**© 2026 · A game by Eduardo Ariño de la Rubia**
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",Analytics consent (dialog aria-label),**Share anonymous play stats?**
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",🌍 Share anonymous play stats? (banner headline),keep
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)","Scores, distances and modes, plus technical diagnostics and an anonymised replay of the screens you see, so we can fix broken imagery. Never your guesses, your names, anything you type, or the street view itself. EU-hosted, change anytime.","**…plus technical diagnostics and an anonymised replay of the menus and score screens (the street view and maps are blanked out), so we can fix broken imagery. Never your guesses, your names, or anything you type. EU-hosted, change anytime.**"
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",No thanks / Sounds good,"keep (first-ask); ""Sounds good"" under reopened settings → **Sharing is on/off** context"
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",📷 Image not working? Report it,keep
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",Read the full privacy policy on GitHub ↗,keep
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",Currently: on. / Currently: off.,**Sharing is on.** / **Sharing is off.**
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",Report / Report an image problem / body / Send report / Cancel,keep / keep / keep / keep / **No thanks**
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",Send a one-time diagnostic report?,**Send one report about this image?**
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",You've said no to analytics — … to debug this image problem…,**You said no to sharing play stats** / **To fix this image problem**
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",Send one report / No thanks,keep
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",Couldn't send the report — you may be offline or blocking analytics. No data was collected.,**…Nothing left your phone.**
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",Thanks — sent. / ref-code line / Not sent / Close,keep / **…if you get in touch on GitHub.** / keep / keep
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",Finding your way… (arrows pill),**Loading the arrows…**
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",GP-4K7QMV (support ref code),keep
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",23s / 1m 04s / 3.2 km / 1:37 (formatters),keep
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)","SUPER SURE — no pin · 0 / no pin · +0 / 250 km · SUPER SURE — 0 / SUPER SURE ×2 · 3,120 / ⚡23s +140",**no pin · SUPER SURE ×0** / **no pin · +0** / **SUPER SURE ×0** / keep / keep **[test]**
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)","+3,120 pts · 812 km · Nailed it · ⚡+140 fast (+ SUPER SURE variants)",keep (add 🔥 to TV rows for consistency)
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)","+3,120 → 9,480 (board rows)",keep
"7. Consent / report / core (consent.js, report-ui.js, viewer-ui.js, game.js)",Everyone (default solo team name),keep
